Amharique	,am
Arabe	,ar
Basque	,eu
Bengali	,bn
Anglais (Royaume-Uni)	,en-GB
Portugais (Brésil)	,pt-BR
Bulgare	,bg
Catalan	,ca
Cherokee	,chr
Croate	,h
Tchèque	,cs
Danois	,da
Néerlandais	,nl
Anglais (États-Unis)	,en
Estonien	,et
Tagalog	,fil
Finnois	,fi
Français	,fr
Allemand	,de
Grec	,el
Gujarati	,gu
Hébreu	,iw
Hindi	,hi
Hongrois	,hu
Islandais	,is
Indonésien	,id
Italien	,it
Japonais	,ja
Kannada	,kn
Coréen	,ko
Letton	,lv
Lituanien	,lt
Malaisien	,ms
Malayâlam	,ml
Marathi	,mr
Norvégien	,non
Polonais	,pl
Portugais (Portugal)	,pt-PT
Roumain	,ro
Russe	,ru
Serbe	,sr
Chinois (RPC)	,zh-CN
Slovaque	,sk
Slovène	,sl
Espagnol	,es
Swahili	,sw
Suédois	,sv
Tamoul	,ta
Télougou	,te
Thaï	,th
Chinois (Taïwan)	,zh-TW
Turc	,tr
Urdu	,ur
Ukrainien	,uk
Vietnamien	,vi
Gallois	,cy
